epoch,train_loss,train_err,test_err
0,1.8048521280288696,0.74764,0.7322
1,1.3855010271072388,0.60822,0.5802
2,1.1710093021392822,0.4566,0.4568
3,0.9891908764839172,0.35084,0.3611
4,0.7887187004089355,0.32642,0.3294
5,0.7408337593078613,0.27722,0.292
6,0.7308048009872437,0.24984,0.2701
7,0.7512000203132629,0.2247,0.2402
8,0.5421320199966431,0.22928,0.2441
9,0.6031123399734497,0.24394,0.2763
10,0.5711144208908081,0.16604,0.1904
11,0.5278315544128418,0.1977,0.2214
12,0.5733229517936707,0.1594,0.178
13,0.6889265179634094,0.15194,0.1741
14,0.5428001880645752,0.15186,0.1768
15,0.39033448696136475,0.15634,0.184
16,0.4230988025665283,0.15332,0.1821
17,0.3484899401664734,0.1504,0.1771
18,0.30851978063583374,0.14998,0.1833
19,0.35475391149520874,0.14312,0.1807
20,0.37357568740844727,0.12676,0.1576
21,0.3841957449913025,0.11698,0.1522
22,0.39428937435150146,0.17402,0.1941
23,0.23930709064006805,0.1515,0.1825
24,0.40163475275039673,0.15736,0.1927
25,0.3878041207790375,0.17578,0.2106
26,0.2685081362724304,0.11358,0.1544
27,0.485807329416275,0.11972,0.1597
28,0.30990099906921387,0.12204,0.1679
29,0.19399866461753845,0.11268,0.1454
30,0.28218573331832886,0.11924,0.1598
31,0.26605090498924255,0.10388,0.1511
32,0.38202792406082153,0.09672,0.141
33,0.5707382559776306,0.1171,0.1626
34,0.22789721190929413,0.11656,0.1571
35,0.268680602312088,0.1205,0.1605
36,0.42387256026268005,0.13206,0.1698
37,0.3683059811592102,0.10906,0.1511
38,0.41321223974227905,0.17762,0.2156
39,0.22084565460681915,0.09594,0.1373
40,0.20818142592906952,0.12158,0.1584
41,0.323577344417572,0.10316,0.1458
42,0.3371230661869049,0.1126,0.1545
43,0.3046097457408905,0.1184,0.1585
44,0.3387439250946045,0.10424,0.1474
45,0.3109405040740967,0.10956,0.145
46,0.23123741149902344,0.1047,0.1528
47,0.2770995497703552,0.11662,0.1549
