epoch,train_loss,train_err,test_err
0,0.061984457075595856,0.024171875,0.1176875
1,0.09344147890806198,0.0196875,0.1585
2,0.004774853587150574,0.00734375,0.0713125
3,0.008402131497859955,0.006984375,0.0715
4,0.006673939526081085,0.00465625,0.03175
5,0.007221698760986328,0.00321875,0.0244375
6,0.030543170869350433,0.004578125,0.02925
7,0.010865770280361176,0.004703125,0.05125
8,0.003122881054878235,0.0021875,0.0201875
9,0.0537833608686924,0.005703125,0.0364375
10,0.004456043243408203,0.003359375,0.0206875
11,0.011589735746383667,0.004203125,0.016125
