epoch,train_loss,train_err,test_err
0,2.337759256362915,0.87798,0.8878
1,1.7812570333480835,0.70018,0.6922
2,1.4051456451416016,0.56706,0.5525
3,1.2150943279266357,0.46062,0.4589
4,0.8955321311950684,0.41932,0.4199
5,0.915478527545929,0.3165,0.325
6,0.7438636422157288,0.32226,0.3212
7,0.7273997068405151,0.24102,0.2527
8,0.7118607759475708,0.25334,0.2719
9,0.4751989245414734,0.27174,0.2795
10,0.662676215171814,0.25166,0.2587
11,0.5069283246994019,0.22812,0.2422
12,0.5844876766204834,0.29916,0.306
13,0.37800294160842896,0.18288,0.197
14,0.4575121998786926,0.16044,0.1784
15,0.4655593931674957,0.21332,0.2355
16,0.4540030360221863,0.1862,0.2038
17,0.4176979064941406,0.16242,0.1929
18,0.3235166072845459,0.15372,0.1756
19,0.4470190405845642,0.15436,0.1818
20,0.39006224274635315,0.1808,0.2162
21,0.38398921489715576,0.13538,0.1636
22,0.4650537371635437,0.15574,0.1925
23,0.33855360746383667,0.18256,0.2148
24,0.30888545513153076,0.18864,0.2189
25,0.3557894825935364,0.126,0.1602
26,0.4005628526210785,0.12694,0.161
27,0.18483805656433105,0.13438,0.1676
28,0.21514058113098145,0.13196,0.1655
29,0.37474337220191956,0.12278,0.1581
30,0.21574154496192932,0.14036,0.1699
31,0.25668880343437195,0.13922,0.1782
32,0.44431233406066895,0.13112,0.1724
33,0.3191071152687073,0.11146,0.1524
34,0.2545411288738251,0.1147,0.1632
35,0.3360309302806854,0.09702,0.1422
36,0.2638166546821594,0.11882,0.1651
37,0.219305157661438,0.09364,0.1416
38,0.27185723185539246,0.13488,0.1752
39,0.23701278865337372,0.11112,0.1532
40,0.5396641492843628,0.14646,0.1766
41,0.2415582835674286,0.14262,0.1833
42,0.21532681584358215,0.09304,0.1417
43,0.4449407458305359,0.12502,0.1675
44,0.14092808961868286,0.09552,0.1445
45,0.1751752346754074,0.1186,0.1584
46,0.36288872361183167,0.13042,0.1666
47,0.6104191541671753,0.10408,0.153
48,0.3186885118484497,0.1048,0.1541
49,0.31899362802505493,0.0997,0.1457
50,0.16778305172920227,0.091,0.1389
51,0.17461788654327393,0.11306,0.1629
52,0.14864256978034973,0.09896,0.1507
53,0.23564128577709198,0.07694,0.132
54,0.244422048330307,0.10696,0.1574
55,0.2799191474914551,0.07104,0.1255
56,0.15425941348075867,0.09398,0.143
57,0.305655300617218,0.11202,0.1624
58,0.2089957743883133,0.07772,0.126
59,0.24934041500091553,0.08838,0.1406
60,0.20466716587543488,0.08956,0.1386
61,0.21591754257678986,0.08708,0.1394
62,0.1606600433588028,0.10064,0.1574
63,0.1195322647690773,0.07998,0.1318
64,0.2142816036939621,0.09572,0.1501
65,0.25514906644821167,0.11318,0.1586
66,0.18891628086566925,0.08386,0.1307
67,0.20690461993217468,0.09754,0.1539
68,0.16910135746002197,0.09126,0.1361
69,0.28101783990859985,0.08362,0.1324
70,0.16499048471450806,0.0867,0.1287
71,0.4104680120944977,0.107,0.1544
72,0.20233547687530518,0.08508,0.1451
73,0.20680657029151917,0.07842,0.1283
74,0.26925069093704224,0.0921,0.1413
75,0.12178564071655273,0.08878,0.1414
76,0.10945968329906464,0.10034,0.1498
77,0.20281824469566345,0.09784,0.1548
78,0.17601826786994934,0.06566,0.1188
79,0.07502304017543793,0.08868,0.1401
80,0.15906435251235962,0.08798,0.1422
81,0.1808820217847824,0.1306,0.1822
82,0.2546643614768982,0.08996,0.1425
83,0.12877151370048523,0.02254,0.0829
84,0.04558119550347328,0.01794,0.0826
85,0.03987608104944229,0.0152,0.0834
86,0.10425211489200592,0.01418,0.0792
87,0.054737042635679245,0.01294,0.0811
88,0.08722615242004395,0.01104,0.0823
89,0.02009945549070835,0.00998,0.0825
90,0.051311783492565155,0.009,0.0809
91,0.041390758007764816,0.00834,0.0804
92,0.04937012866139412,0.00802,0.08
93,0.019578367471694946,0.00714,0.0795
94,0.015275627374649048,0.0068,0.0798
95,0.00919328909367323,0.00648,0.0797
96,0.016483306884765625,0.00602,0.0791
97,0.02707766368985176,0.0058,0.0823
98,0.04579497501254082,0.00454,0.0794
99,0.0031876445282250643,0.0049,0.0794
100,0.007951205596327782,0.00446,0.0801
101,0.012410270981490612,0.00424,0.0807
102,0.05117567256093025,0.00398,0.0808
103,0.05423837900161743,0.00368,0.0811
104,0.014011263847351074,0.00358,0.082
105,0.005900657270103693,0.00388,0.0813
106,0.02755562588572502,0.00334,0.082
107,0.020467150956392288,0.00346,0.0812
108,0.021445631980895996,0.00352,0.0809
109,0.050409816205501556,0.00296,0.0803
110,0.012965559959411621,0.00258,0.0804
111,0.04360540956258774,0.00272,0.0809
112,0.0341041274368763,0.00272,0.0785
113,0.014639005064964294,0.00238,0.0787
114,0.0346938855946064,0.0028,0.0805
115,0.008386367931962013,0.002,0.0815
116,0.007954823784530163,0.00204,0.0813
117,0.004286778159439564,0.00226,0.0811
118,0.018092405050992966,0.0021,0.0806
119,0.004707026295363903,0.00222,0.08
120,0.014105414971709251,0.00196,0.0827
121,0.005427164025604725,0.00196,0.0818
122,0.007833612151443958,0.00172,0.0808
123,0.03240880370140076,0.00172,0.0798
124,0.0043389261700212955,0.00118,0.0801
125,0.00516961794346571,0.00136,0.0795
126,0.011362326331436634,0.00108,0.077
127,0.004401492886245251,0.00136,0.0793
128,0.005154109094291925,0.00072,0.0788
129,0.021634679287672043,0.00094,0.0789
130,0.002128648804500699,0.00086,0.0792
131,0.0081332977861166,0.00088,0.0788
132,0.003527724649757147,0.00098,0.0788
133,0.004339790437370539,0.00076,0.0785
134,0.012184214778244495,0.00068,0.0793
135,0.0006803512806072831,0.00068,0.0789
136,0.043727628886699677,0.0007,0.0797
137,0.0030784488189965487,0.0006,0.0792
138,0.0024343610275536776,0.0007,0.0795
139,0.015592033043503761,0.00048,0.0806
140,0.007393836975097656,0.00072,0.0799
141,0.0003870725631713867,0.00046,0.0803
142,0.01806054078042507,0.00088,0.0811
143,0.0015903234016150236,0.00052,0.0803
144,0.012466257438063622,0.00062,0.0799
145,0.008556157350540161,0.00062,0.0792
146,0.004834175109863281,0.00032,0.0806
147,0.0016478896141052246,0.00062,0.0804
148,0.01401596050709486,0.00046,0.0811
149,0.020270848646759987,0.00066,0.08
150,0.001297640847042203,0.0004,0.08
151,0.019085627049207687,0.00068,0.0803
152,0.0034971535205841064,0.00064,0.0807
153,0.007930916734039783,0.00048,0.0805
154,0.007276994176208973,0.00046,0.0792
155,0.014877522364258766,0.00058,0.0795
156,0.01063538808375597,0.00046,0.0812
157,0.0026823878288269043,0.0004,0.0809
158,0.05882159620523453,0.00064,0.0787
159,0.0010444701183587313,0.00054,0.0794
160,0.005952096078544855,0.00052,0.0806
161,0.00680464506149292,0.00058,0.0799
162,0.00447961688041687,0.00058,0.079
163,0.0021470903884619474,0.0006,0.081
