epoch,train_loss,train_err,test_err
0,2.292367458343506,0.88816,0.8905
1,2.149783134460449,0.83782,0.8324
2,2.0721120834350586,0.78798,0.7787
3,2.015766143798828,0.75814,0.7456
4,1.841832160949707,0.73294,0.7104
5,1.9022709131240845,0.70822,0.676
6,1.8981659412384033,0.70084,0.6906
7,1.701230764389038,0.68804,0.6647
8,1.6983058452606201,0.6639,0.6416
9,1.6519969701766968,0.67636,0.6409
10,1.7896840572357178,0.62086,0.6099
11,1.7484986782073975,0.67078,0.6514
12,1.7017567157745361,0.60962,0.597
13,1.5233031511306763,0.61592,0.6055
14,1.6661326885223389,0.59398,0.591
15,1.7339916229248047,0.58978,0.579
16,1.5821888446807861,0.58476,0.5674
17,1.5185956954956055,0.54796,0.5258
18,1.5450377464294434,0.58218,0.5597
19,1.515968680381775,0.5672,0.5589
20,1.3432828187942505,0.55206,0.5358
21,1.7250820398330688,0.66572,0.6564
22,1.3236773014068604,0.52364,0.5074
23,1.2824517488479614,0.4924,0.4773
24,1.4281615018844604,0.47804,0.4646
25,1.1681122779846191,0.49778,0.488
26,1.1728551387786865,0.46564,0.4541
27,1.2057809829711914,0.47662,0.4639
28,1.3498910665512085,0.46402,0.4458
29,1.216835379600525,0.50464,0.4777
30,0.887858510017395,0.5024,0.4836
31,0.9732820391654968,0.4134,0.3907
32,0.9715272784233093,0.41708,0.4052
33,0.9209335446357727,0.42778,0.4106
34,0.9354161024093628,0.41086,0.4064
35,0.8468354940414429,0.41168,0.3917
36,0.9257190823554993,0.38406,0.3692
37,0.8147422671318054,0.4271,0.408
38,0.9407267570495605,0.36536,0.3577
39,0.8717285990715027,0.535,0.5463
40,0.888256847858429,0.32276,0.3145
41,0.862856388092041,0.41502,0.4072
42,0.8263561129570007,0.46292,0.4235
43,0.8643412590026855,0.35466,0.3552
44,0.7881686687469482,0.3289,0.3283
45,0.833473801612854,0.29786,0.2944
46,0.7469338774681091,0.31036,0.3049
47,0.6824111342430115,0.30214,0.3089
48,0.9483083486557007,0.30962,0.3198
49,0.5782953500747681,0.3226,0.3363
50,0.6509033441543579,0.47828,0.4762
51,0.8483955264091492,0.31518,0.3103
52,0.7651559710502625,0.38362,0.3872
53,0.7306455373764038,0.2787,0.2796
54,0.8086844682693481,0.31158,0.3218
55,0.7111860513687134,0.3452,0.339
56,0.7404372692108154,0.3933,0.3989
57,0.7500396966934204,0.46594,0.4787
58,0.7493597865104675,0.37414,0.3722
59,0.8018912076950073,0.32128,0.3172
60,0.5966566205024719,0.31646,0.3177
61,0.7102934122085571,0.36874,0.3448
62,0.7183045744895935,0.32272,0.3092
63,0.6355124115943909,0.36484,0.3697
64,0.6700226068496704,0.24828,0.2541
