epoch,train_loss,train_err,test_err
0,2.2801918983459473,0.82142,0.8269
1,1.5168312788009644,0.63862,0.634
2,1.231764554977417,0.506,0.5005
3,0.9711672067642212,0.46216,0.4809
4,0.9483521580696106,0.32358,0.3352
5,0.6394277215003967,0.32834,0.331
6,0.8739229440689087,0.23744,0.2524
7,0.633462131023407,0.24294,0.2578
8,0.7334185838699341,0.21068,0.2197
9,0.6894415020942688,0.24214,0.2644
10,0.7295471429824829,0.20856,0.2183
11,0.6127208471298218,0.1986,0.2145
12,0.5714020133018494,0.1858,0.2053
13,0.3357798457145691,0.22726,0.2501
14,0.5269495248794556,0.18346,0.2003
15,0.5208636522293091,0.17512,0.1987
16,0.350818395614624,0.20672,0.235
17,0.5104613304138184,0.17798,0.2047
18,0.3033071756362915,0.13536,0.1617
19,0.4003947377204895,0.1728,0.2013
20,0.47237128019332886,0.15214,0.1748
21,0.2102225124835968,0.1225,0.1519
22,0.4886454641819,0.16852,0.1981
23,0.44722992181777954,0.1888,0.2126
24,0.4856017231941223,0.14976,0.1713
25,0.6763261556625366,0.16158,0.1747
26,0.34617412090301514,0.1695,0.2035
27,0.4798820912837982,0.15202,0.1807
28,0.44963759183883667,0.12586,0.1646
29,0.41813260316848755,0.1107,0.1402
30,0.5010430216789246,0.12718,0.1626
31,0.3051782548427582,0.1063,0.1388
32,0.1769530475139618,0.15308,0.1801
33,0.3617900013923645,0.13054,0.1632
34,0.32986927032470703,0.09846,0.1355
35,0.24241141974925995,0.09558,0.1341
36,0.4256262183189392,0.10308,0.1411
37,0.25975242257118225,0.10598,0.1456
38,0.28390786051750183,0.1288,0.1669
39,0.28861004114151,0.13374,0.1693
40,0.24269576370716095,0.09872,0.1372
41,0.2974010705947876,0.11042,0.1544
42,0.14338363707065582,0.11048,0.1536
43,0.18983572721481323,0.1161,0.1642
44,0.166565403342247,0.1117,0.1572
45,0.21278460323810577,0.09792,0.1353
46,0.42340269684791565,0.1,0.144
47,0.3719516396522522,0.11228,0.1572
48,0.13852937519550323,0.102,0.1459
49,0.3872986137866974,0.09654,0.1366
50,0.2965378761291504,0.0878,0.1326
51,0.21334128081798553,0.09384,0.1391
52,0.3215450346469879,0.12212,0.1644
53,0.34964776039123535,0.08232,0.1287
54,0.1937856525182724,0.09304,0.1372
55,0.3726066052913666,0.08826,0.1366
56,0.268876850605011,0.09876,0.1458
57,0.15664947032928467,0.07234,0.1197
58,0.13834020495414734,0.09048,0.1384
59,0.2490035742521286,0.07888,0.1273
60,0.20397861301898956,0.0887,0.1365
61,0.2597985565662384,0.0876,0.1321
62,0.27457475662231445,0.13314,0.1743
63,0.3048524260520935,0.09334,0.1397
64,0.2894030213356018,0.0957,0.1371
65,0.23779256641864777,0.08394,0.1293
66,0.15933145582675934,0.07192,0.1172
67,0.21642427146434784,0.1043,0.1502
68,0.2191900759935379,0.084,0.1287
69,0.22976580262184143,0.07838,0.132
70,0.17887364327907562,0.09584,0.1412
71,0.2606890797615051,0.11792,0.1768
72,0.2067302167415619,0.08158,0.1327
73,0.13710537552833557,0.0756,0.1252
74,0.21223506331443787,0.09306,0.1398
75,0.16310866177082062,0.0759,0.1256
76,0.1868826299905777,0.0754,0.129
77,0.20766186714172363,0.09062,0.136
78,0.24692976474761963,0.07866,0.1302
79,0.17633290588855743,0.0842,0.1386
80,0.17970390617847443,0.08134,0.1302
81,0.12381114810705185,0.09062,0.1379
82,0.20532408356666565,0.08948,0.1355
83,0.078221395611763,0.02344,0.0808
84,0.08327549695968628,0.02042,0.0784
85,0.03243526071310043,0.01638,0.0759
86,0.25864988565444946,0.015,0.0776
87,0.05375658720731735,0.01356,0.0767
88,0.016735220327973366,0.01308,0.0767
89,0.05069679766893387,0.01096,0.0735
90,0.07354949414730072,0.01008,0.0767
91,0.06418062746524811,0.00942,0.0752
92,0.11679314076900482,0.01002,0.0746
93,0.02046077325940132,0.0084,0.0752
94,0.029255425557494164,0.00744,0.0734
95,0.0658564493060112,0.00736,0.0734
96,0.013700914569199085,0.00688,0.0739
97,0.041962362825870514,0.00662,0.0763
98,0.1030874252319336,0.00644,0.0769
99,0.16067300736904144,0.00562,0.0755
100,0.029265617951750755,0.00504,0.077
101,0.03479495644569397,0.00526,0.0764
102,0.04263879731297493,0.00496,0.0774
103,0.013887763023376465,0.00432,0.0759
104,0.028385525569319725,0.0044,0.0749
105,0.07260474562644958,0.00428,0.0762
106,0.005758750252425671,0.00428,0.0756
107,0.004266923759132624,0.00408,0.0748
108,0.05187400057911873,0.00364,0.0777
109,0.020643632858991623,0.0033,0.0759
110,0.028491120785474777,0.0033,0.0774
111,0.01838533952832222,0.0026,0.076
112,0.028650278225541115,0.0036,0.0753
113,0.017794471234083176,0.00278,0.0766
114,0.023253386840224266,0.00292,0.077
115,0.012763148173689842,0.00324,0.0772
116,0.05758535861968994,0.0031,0.0752
117,0.018571441993117332,0.00352,0.0768
118,0.002152037573978305,0.00292,0.0769
119,0.039098333567380905,0.00226,0.0764
120,0.025739658623933792,0.00236,0.0769
121,0.0174830611795187,0.00278,0.0782
122,0.01377173699438572,0.00242,0.0758
123,0.007933879271149635,0.00242,0.0749
124,0.025315910577774048,0.00168,0.0739
125,0.012168282642960548,0.0016,0.0739
126,0.019404422491788864,0.00144,0.0741
127,0.018257569521665573,0.00144,0.075
128,0.003623270895332098,0.00142,0.0748
129,0.004562449641525745,0.00102,0.0737
130,0.0036726712714880705,0.00104,0.0734
131,0.004627508111298084,0.00112,0.0734
132,0.0180781539529562,0.0011,0.0716
133,0.002712416695430875,0.00104,0.0744
134,0.002206826116889715,0.00128,0.0744
135,0.013787006959319115,0.00094,0.0732
136,0.02618083916604519,0.00102,0.0736
137,0.001985406968742609,0.00104,0.0736
138,0.00942422728985548,0.00096,0.0734
139,0.04763036221265793,0.00102,0.0737
140,0.00908956490457058,0.00094,0.0726
141,0.004398852586746216,0.00088,0.0734
142,0.004891884513199329,0.00064,0.0746
143,0.0036215006839483976,0.00098,0.0745
144,0.009204667992889881,0.0007,0.0739
145,0.002796775195747614,0.00066,0.0738
146,0.0031390488147735596,0.00062,0.0741
147,0.02983233332633972,0.0008,0.0741
148,0.010372042655944824,0.00086,0.0739
149,0.002831053687259555,0.00072,0.0739
150,0.004627800080925226,0.00062,0.0744
151,0.03247664496302605,0.00066,0.073
152,0.05472136661410332,0.00092,0.0739
153,0.005971652455627918,0.00084,0.0731
154,0.0006357550737448037,0.00094,0.0749
155,0.0048843324184417725,0.00076,0.0743
156,0.0023478628136217594,0.0009,0.0744
157,0.004781836178153753,0.00084,0.0738
